id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q001,sgrep,Where does the server accept live terminal session connections over ws?,packages/opencode/src/server/server.ts,,0,828.97,0,
q001,rg,Where does the server accept live terminal session connections over ws?,packages/opencode/src/server/server.ts,7,1,112.31,0,
q002,sgrep,How are system-wide events pushed to clients in real time?,packages/opencode/src/server/server.ts,,0,843.68,0,
q002,rg,How are system-wide events pushed to clients in real time?,packages/opencode/src/server/server.ts,,0,112.86,0,
q003,sgrep,Where is the endpoint that streams assistant replies back to a session?,packages/opencode/src/server/server.ts,,0,851.91,0,
q003,rg,Where is the endpoint that streams assistant replies back to a session?,packages/opencode/src/server/server.ts,,0,119.39,0,
q004,sgrep,Where is the health check that returns the running version?,packages/opencode/src/server/server.ts,,0,970.98,0,
q004,rg,Where is the health check that returns the running version?,packages/opencode/src/server/server.ts,,0,117.16,0,
q005,sgrep,Where can the API read current user settings?,packages/opencode/src/server/server.ts,,0,828.05,0,
q005,rg,Where can the API read current user settings?,packages/opencode/src/server/server.ts,,0,120.16,0,
q006,sgrep,Where is a new terminal session spawned?,packages/opencode/src/pty/index.ts,,0,865.27,0,
q006,rg,Where is a new terminal session spawned?,packages/opencode/src/pty/index.ts,,0,120.3,0,
q007,sgrep,Where does the server bridge terminal output to a client socket?,packages/opencode/src/pty/index.ts,,0,861.99,0,
q007,rg,Where does the server bridge terminal output to a client socket?,packages/opencode/src/pty/index.ts,,0,114.17,0,
q008,sgrep,"Where is the settings merge order (remote, global, project) decided?",packages/opencode/src/config/config.ts,,0,899.42,0,
q008,rg,"Where is the settings merge order (remote, global, project) decided?",packages/opencode/src/config/config.ts,,0,124.65,0,
q009,sgrep,Where does it scan .opencode folders for extra configuration?,packages/opencode/src/config/config.ts,,0,909.29,0,
q009,rg,Where does it scan .opencode folders for extra configuration?,packages/opencode/src/config/config.ts,,0,115.87,0,
q010,sgrep,Where is the default tool list assembled?,packages/opencode/src/tool/registry.ts,,0,867.46,0,
q010,rg,Where is the default tool list assembled?,packages/opencode/src/tool/registry.ts,,0,121.75,0,
q011,sgrep,Where is web search enabled only for certain providers?,packages/opencode/src/tool/registry.ts,,0,850.58,0,
q011,rg,Where is web search enabled only for certain providers?,packages/opencode/src/tool/registry.ts,,0,114.95,0,
q012,sgrep,Where is external code context retrieval implemented?,packages/opencode/src/tool/codesearch.ts,3,1,915.25,0,
