id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q001,sgrep,Where is the PTY WebSocket connection endpoint implemented?,packages/opencode/src/server/server.ts,,0,866.6,0,
q001,rg,Where is the PTY WebSocket connection endpoint implemented?,packages/opencode/src/server/server.ts,4,1,118.25,0,
q002,sgrep,Where is the global events SSE stream implemented?,packages/opencode/src/server/server.ts,,0,876.2,0,
q002,rg,Where is the global events SSE stream implemented?,packages/opencode/src/server/server.ts,4,1,118.02,0,
q003,sgrep,Where does the server stream session prompt responses?,packages/opencode/src/server/server.ts,,0,879.25,0,
q003,rg,Where does the server stream session prompt responses?,packages/opencode/src/server/server.ts,3,1,117.04,0,
q004,sgrep,Where does the server report health and version info?,packages/opencode/src/server/server.ts,,0,855.98,0,
q004,rg,Where does the server report health and version info?,packages/opencode/src/server/server.ts,8,1,117.84,0,
q005,sgrep,Where is the config GET endpoint implemented?,packages/opencode/src/server/server.ts,,0,820.35,0,
q005,rg,Where is the config GET endpoint implemented?,packages/opencode/src/server/server.ts,4,1,121.87,0,
q006,sgrep,Where is PTY session creation implemented?,packages/opencode/src/pty/index.ts,,0,878.33,0,
q006,rg,Where is PTY session creation implemented?,packages/opencode/src/pty/index.ts,,0,117.55,0,
q007,sgrep,Where is PTY WebSocket bridging (connect) implemented?,packages/opencode/src/pty/index.ts,,0,890.52,0,
q007,rg,Where is PTY WebSocket bridging (connect) implemented?,packages/opencode/src/pty/index.ts,,0,118.12,0,
q008,sgrep,"Where is config precedence (well-known, global, project) implemented?",packages/opencode/src/config/config.ts,,0,818.31,0,
q008,rg,"Where is config precedence (well-known, global, project) implemented?",packages/opencode/src/config/config.ts,2,1,117.63,0,
q009,sgrep,Where are .opencode directories scanned for config/plugins?,packages/opencode/src/config/config.ts,,0,845.93,0,
q009,rg,Where are .opencode directories scanned for config/plugins?,packages/opencode/src/config/config.ts,10,1,121.17,0,
q010,sgrep,Where are built-in tools assembled into the tool list?,packages/opencode/src/tool/registry.ts,,0,852.71,0,
q010,rg,Where are built-in tools assembled into the tool list?,packages/opencode/src/tool/registry.ts,,0,120.85,0,
q011,sgrep,Where is codesearch/websearch enabled only for opencode provider?,packages/opencode/src/tool/registry.ts,,0,847.12,0,
q011,rg,Where is codesearch/websearch enabled only for opencode provider?,packages/opencode/src/tool/registry.ts,,0,117.84,0,
q012,sgrep,Where is the CodeSearch tool (Exa MCP) implemented?,packages/opencode/src/tool/codesearch.ts,1,1,864.52,0,
q012,rg,Where is the CodeSearch tool (Exa MCP) implemented?,packages/opencode/src/tool/codesearch.ts,,0,116.57,0,
q013,sgrep,Where does OpenCode download ripgrep if missing?,packages/opencode/src/file/ripgrep.ts,1,1,871.98,0,
q013,rg,Where does OpenCode download ripgrep if missing?,packages/opencode/src/file/ripgrep.ts,,0,120.57,0,
q014,sgrep,Where is the TypeScript LSP server spawned?,packages/opencode/src/lsp/server.ts,,0,855.53,0,
q014,rg,Where is the TypeScript LSP server spawned?,packages/opencode/src/lsp/server.ts,1,1,120.23,0,
q015,sgrep,Where does Vue LSP get installed if missing?,packages/opencode/src/lsp/server.ts,8,1,873.25,0,
q015,rg,Where does Vue LSP get installed if missing?,packages/opencode/src/lsp/server.ts,4,1,118.43,0,
q016,sgrep,Where is session overflow detection for compaction?,packages/opencode/src/session/compaction.ts,1,1,852.49,0,
q016,rg,Where is session overflow detection for compaction?,packages/opencode/src/session/compaction.ts,,0,121.96,0,
q017,sgrep,Where is session tool-output pruning implemented?,packages/opencode/src/session/compaction.ts,5,1,837.93,0,
q017,rg,Where is session tool-output pruning implemented?,packages/opencode/src/session/compaction.ts,,0,120.62,0,
q018,sgrep,Where does session summary compute diffs and store them?,packages/opencode/src/session/summary.ts,1,1,857.81,0,
q018,rg,Where does session summary compute diffs and store them?,packages/opencode/src/session/summary.ts,,0,118.68,0,
q019,sgrep,Where is session title summarization performed?,packages/opencode/src/session/summary.ts,1,1,833.78,0,
q019,rg,Where is session title summarization performed?,packages/opencode/src/session/summary.ts,,0,121.48,0,
q020,sgrep,Where are models refreshed from the models.dev API?,packages/opencode/src/provider/models.ts,2,1,903.41,0,
q020,rg,Where are models refreshed from the models.dev API?,packages/opencode/src/provider/models.ts,,0,115.63,0,
q021,sgrep,Where is provider OAuth callback handled and stored?,packages/opencode/src/provider/auth.ts,1,1,885.61,0,
q021,rg,Where is provider OAuth callback handled and stored?,packages/opencode/src/provider/auth.ts,,0,117.68,0,
q022,sgrep,Where are auth tokens stored on disk?,packages/opencode/src/auth/index.ts,,0,841.82,0,
q022,rg,Where are auth tokens stored on disk?,packages/opencode/src/auth/index.ts,,0,115.98,0,
q023,sgrep,Where is worktree name/branch generation implemented?,packages/opencode/src/worktree/index.ts,,0,860.48,0,
q023,rg,Where is worktree name/branch generation implemented?,packages/opencode/src/worktree/index.ts,,0,122.35,0,
q024,sgrep,Where is git worktree creation executed?,packages/opencode/src/worktree/index.ts,,0,889.23,0,
q024,rg,Where is git worktree creation executed?,packages/opencode/src/worktree/index.ts,,0,116.6,0,
q025,sgrep,Where is project ID derived from the git root commit?,packages/opencode/src/project/project.ts,,0,849.49,0,
q025,rg,Where is project ID derived from the git root commit?,packages/opencode/src/project/project.ts,8,1,117.11,0,
q026,sgrep,Where are plugins loaded (built-in and configured)?,packages/opencode/src/plugin/index.ts,4,1,832.65,0,
q026,rg,Where are plugins loaded (built-in and configured)?,packages/opencode/src/plugin/index.ts,5,1,118.06,0,
q027,sgrep,Where is the permission ask flow implemented?,packages/opencode/src/permission/next.ts,,0,822.24,0,
q027,rg,Where is the permission ask flow implemented?,packages/opencode/src/permission/next.ts,,0,119.02,0,
q028,sgrep,Where is permission reply handling implemented?,packages/opencode/src/permission/next.ts,5,1,828.36,0,
q028,rg,Where is permission reply handling implemented?,packages/opencode/src/permission/next.ts,6,1,115.16,0,
q029,sgrep,Where is user question request handled (Question.ask)?,packages/opencode/src/question/index.ts,,0,847.45,0,
q029,rg,Where is user question request handled (Question.ask)?,packages/opencode/src/question/index.ts,,0,122.09,0,
q030,sgrep,Where is preferred shell selection implemented?,packages/opencode/src/shell/shell.ts,,0,822.17,0,
q030,rg,Where is preferred shell selection implemented?,packages/opencode/src/shell/shell.ts,,0,115.57,0,
q031,sgrep,Where is the config PATCH endpoint implemented?,packages/opencode/src/server/server.ts,,0,821.78,0,
q031,rg,Where is the config PATCH endpoint implemented?,packages/opencode/src/server/server.ts,,0,121.18,0,
q032,sgrep,Where does prompt handling map legacy tools permissions into rules?,packages/opencode/src/session/prompt.ts,,0,852.42,0,
q032,rg,Where does prompt handling map legacy tools permissions into rules?,packages/opencode/src/session/prompt.ts,,0,117.89,0,
q033,sgrep,Where does prompt handling skip reply when noReply is true?,packages/opencode/src/session/prompt.ts,1,1,866.53,0,
q033,rg,Where does prompt handling skip reply when noReply is true?,packages/opencode/src/session/prompt.ts,,0,118.34,0,
q034,sgrep,Where does prompt parsing resolve file references into prompt parts?,packages/opencode/src/session/prompt.ts,5,1,859.86,0,
q034,rg,Where does prompt parsing resolve file references into prompt parts?,packages/opencode/src/session/prompt.ts,,0,119.06,0,
q035,sgrep,Where are built-in plugins listed?,packages/opencode/src/plugin/index.ts,,0,820.28,0,
q035,rg,Where are built-in plugins listed?,packages/opencode/src/plugin/index.ts,4,1,117.95,0,
q036,sgrep,Where does plugin init subscribe to bus events?,packages/opencode/src/plugin/index.ts,,0,839.28,0,
q036,rg,Where does plugin init subscribe to bus events?,packages/opencode/src/plugin/index.ts,9,1,120.1,0,
q037,sgrep,Where does BusEvent build the discriminated union of payloads?,packages/opencode/src/bus/bus-event.ts,1,1,1054.51,0,
q037,rg,Where does BusEvent build the discriminated union of payloads?,packages/opencode/src/bus/bus-event.ts,,0,118.23,0,
q038,sgrep,Where is the global event bus defined?,packages/opencode/src/bus/global.ts,2,1,826.04,0,
q038,rg,Where is the global event bus defined?,packages/opencode/src/bus/global.ts,,0,120.55,0,
q039,sgrep,Where is Storage.read implemented?,packages/opencode/src/storage/storage.ts,,0,841.55,0,
q039,rg,Where is Storage.read implemented?,packages/opencode/src/storage/storage.ts,,0,80.71,0,
