id,engine,query,targets,rank,hit,latency_ms,exit,stderr
q001,sgrep,Where is the PTY WebSocket connection endpoint implemented?,packages/opencode/src/server/server.ts,,0,869.96,0,
q001,rg,Where is the PTY WebSocket connection endpoint implemented?,packages/opencode/src/server/server.ts,4,1,160.12,0,
q002,sgrep,Where is the global events SSE stream implemented?,packages/opencode/src/server/server.ts,,0,861.39,0,
q002,rg,Where is the global events SSE stream implemented?,packages/opencode/src/server/server.ts,4,1,116.36,0,
q003,sgrep,Where does the server stream session prompt responses?,packages/opencode/src/server/server.ts,,0,861.87,0,
q003,rg,Where does the server stream session prompt responses?,packages/opencode/src/server/server.ts,3,1,120.2,0,
q004,sgrep,Where does the server report health and version info?,packages/opencode/src/server/server.ts,,0,828.86,0,
q004,rg,Where does the server report health and version info?,packages/opencode/src/server/server.ts,8,1,117.52,0,
q005,sgrep,Where is the config GET endpoint implemented?,packages/opencode/src/server/server.ts,,0,809.66,0,
q005,rg,Where is the config GET endpoint implemented?,packages/opencode/src/server/server.ts,4,1,116.87,0,
q006,sgrep,Where is PTY session creation implemented?,packages/opencode/src/pty/index.ts,,0,852.24,0,
q006,rg,Where is PTY session creation implemented?,packages/opencode/src/pty/index.ts,,0,118.09,0,
q007,sgrep,Where is PTY WebSocket bridging (connect) implemented?,packages/opencode/src/pty/index.ts,,0,879.52,0,
q007,rg,Where is PTY WebSocket bridging (connect) implemented?,packages/opencode/src/pty/index.ts,,0,114.51,0,
q008,sgrep,"Where is config precedence (well-known, global, project) implemented?",packages/opencode/src/config/config.ts,,0,795.99,0,
q008,rg,"Where is config precedence (well-known, global, project) implemented?",packages/opencode/src/config/config.ts,2,1,116.55,0,
q009,sgrep,Where are .opencode directories scanned for config/plugins?,packages/opencode/src/config/config.ts,,0,842.72,0,
q009,rg,Where are .opencode directories scanned for config/plugins?,packages/opencode/src/config/config.ts,10,1,117.47,0,
q010,sgrep,Where are built-in tools assembled into the tool list?,packages/opencode/src/tool/registry.ts,,0,833.06,0,
q010,rg,Where are built-in tools assembled into the tool list?,packages/opencode/src/tool/registry.ts,,0,113.34,0,
q011,sgrep,Where is codesearch/websearch enabled only for opencode provider?,packages/opencode/src/tool/registry.ts,,0,827.84,0,
q011,rg,Where is codesearch/websearch enabled only for opencode provider?,packages/opencode/src/tool/registry.ts,,0,118.21,0,
q012,sgrep,Where is the CodeSearch tool (Exa MCP) implemented?,packages/opencode/src/tool/codesearch.ts,1,1,841.68,0,
q012,rg,Where is the CodeSearch tool (Exa MCP) implemented?,packages/opencode/src/tool/codesearch.ts,,0,115.09,0,
q013,sgrep,Where does OpenCode download ripgrep if missing?,packages/opencode/src/file/ripgrep.ts,1,1,841.99,0,
q013,rg,Where does OpenCode download ripgrep if missing?,packages/opencode/src/file/ripgrep.ts,,0,115.46,0,
q014,sgrep,Where is the TypeScript LSP server spawned?,packages/opencode/src/lsp/server.ts,,0,845.32,0,
q014,rg,Where is the TypeScript LSP server spawned?,packages/opencode/src/lsp/server.ts,1,1,115.99,0,
q015,sgrep,Where does Vue LSP get installed if missing?,packages/opencode/src/lsp/server.ts,8,1,847.89,0,
q015,rg,Where does Vue LSP get installed if missing?,packages/opencode/src/lsp/server.ts,4,1,116.48,0,
q016,sgrep,Where is session overflow detection for compaction?,packages/opencode/src/session/compaction.ts,1,1,835.46,0,
q016,rg,Where is session overflow detection for compaction?,packages/opencode/src/session/compaction.ts,,0,116.62,0,
q017,sgrep,Where is session tool-output pruning implemented?,packages/opencode/src/session/compaction.ts,5,1,822.06,0,
q017,rg,Where is session tool-output pruning implemented?,packages/opencode/src/session/compaction.ts,,0,119.25,0,
q018,sgrep,Where does session summary compute diffs and store them?,packages/opencode/src/session/summary.ts,1,1,842.57,0,
q018,rg,Where does session summary compute diffs and store them?,packages/opencode/src/session/summary.ts,,0,116.87,0,
q019,sgrep,Where is session title summarization performed?,packages/opencode/src/session/summary.ts,1,1,826.68,0,
q019,rg,Where is session title summarization performed?,packages/opencode/src/session/summary.ts,,0,116.0,0,
q020,sgrep,Where are models refreshed from the models.dev API?,packages/opencode/src/provider/models.ts,2,1,876.33,0,
q020,rg,Where are models refreshed from the models.dev API?,packages/opencode/src/provider/models.ts,,0,119.73,0,
q021,sgrep,Where is provider OAuth callback handled and stored?,packages/opencode/src/provider/auth.ts,1,1,877.86,0,
q021,rg,Where is provider OAuth callback handled and stored?,packages/opencode/src/provider/auth.ts,,0,114.36,0,
q022,sgrep,Where are auth tokens stored on disk?,packages/opencode/src/auth/index.ts,,0,828.47,0,
q022,rg,Where are auth tokens stored on disk?,packages/opencode/src/auth/index.ts,,0,114.06,0,
q023,sgrep,Where is worktree name/branch generation implemented?,packages/opencode/src/worktree/index.ts,,0,841.37,0,
q023,rg,Where is worktree name/branch generation implemented?,packages/opencode/src/worktree/index.ts,,0,121.46,0,
q024,sgrep,Where is git worktree creation executed?,packages/opencode/src/worktree/index.ts,,0,900.9,0,
q024,rg,Where is git worktree creation executed?,packages/opencode/src/worktree/index.ts,,0,118.25,0,
q025,sgrep,Where is project ID derived from the git root commit?,packages/opencode/src/project/project.ts,,0,832.33,0,
q025,rg,Where is project ID derived from the git root commit?,packages/opencode/src/project/project.ts,8,1,118.07,0,
q026,sgrep,Where are plugins loaded (built-in and configured)?,packages/opencode/src/plugin/index.ts,4,1,816.89,0,
q026,rg,Where are plugins loaded (built-in and configured)?,packages/opencode/src/plugin/index.ts,5,1,117.9,0,
q027,sgrep,Where is the permission ask flow implemented?,packages/opencode/src/permission/next.ts,,0,813.78,0,
q027,rg,Where is the permission ask flow implemented?,packages/opencode/src/permission/next.ts,,0,117.3,0,
q028,sgrep,Where is permission reply handling implemented?,packages/opencode/src/permission/next.ts,5,1,820.3,0,
q028,rg,Where is permission reply handling implemented?,packages/opencode/src/permission/next.ts,6,1,115.44,0,
q029,sgrep,Where is user question request handled (Question.ask)?,packages/opencode/src/question/index.ts,,0,837.86,0,
q029,rg,Where is user question request handled (Question.ask)?,packages/opencode/src/question/index.ts,,0,118.77,0,
q030,sgrep,Where is preferred shell selection implemented?,packages/opencode/src/shell/shell.ts,,0,802.69,0,
q030,rg,Where is preferred shell selection implemented?,packages/opencode/src/shell/shell.ts,,0,119.74,0,
q031,sgrep,Where is the config PATCH endpoint implemented?,packages/opencode/src/server/server.ts,,0,817.26,0,
q031,rg,Where is the config PATCH endpoint implemented?,packages/opencode/src/server/server.ts,,0,119.69,0,
q032,sgrep,Where does prompt handling map legacy tools permissions into rules?,packages/opencode/src/session/prompt.ts,,0,834.51,0,
q032,rg,Where does prompt handling map legacy tools permissions into rules?,packages/opencode/src/session/prompt.ts,,0,115.99,0,
q033,sgrep,Where does prompt handling skip reply when noReply is true?,packages/opencode/src/session/prompt.ts,2,1,828.29,0,
